Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Preselect First Variation,Option Name 1,Option Value 1,Enabled CornerCAD,Current Quantity CornerCAD,New Quantity CornerCAD,Stock Alert Enabled CornerCAD,Stock Alert Count CornerCAD,Price CornerCAD,"Enabled Unique Creations by Lisa C, LLC","Current Quantity Unique Creations by Lisa C, LLC","New Quantity Unique Creations by Lisa C, LLC","Stock Alert Enabled Unique Creations by Lisa C, LLC","Stock Alert Count Unique Creations by Lisa C, LLC","Price Unique Creations by Lisa C, LLC",Modifier Set - Customize your fidget,Modifier Set - Flag Earrings,Modifier Set - Fruit Earrings,Modifier Set - Mobius Fidgets,Modifier Set - Scale Mail,Modifier Set - Select your custom colors
AJ65YPM35SHC5OZEPL5WEECT,2n2 Bracelet,,,UCL-BRA-0001,Elevate your style with the Red White and Blue 2n2 Bracelet - a patriotic masterpiece crafted from durable and lightweight materials. Show off your love for your country in style with this stunning accessory!,Bracelets,Bracelets,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
LQOKYE6RCOAXW3MSISUQE4HM,Angel Necklaces,,Regular,UCL-NEC-0001,,Necklaces,Necklaces,,,,,visible,Physical good,,,,Y,N,Y,Y,5.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
BAHCIWXHCRZPT4G3PCZEZNSI,Arc Keychain,,,UCL-KEY-0001,,Keychains,Keychains,,,,,visible,Physical good,,,,Y,,,Y,20.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,N
EEDPZZ4V7JAPGOVDA6VXCGTS,Baby Dragon,,,CAD-FIG-0001,,3D Printed,3D Printed,,,,,visible,Physical good,,,,Y,,,Y,2.00,,N,,N,,N,N,,,Y,,,,,,N,,,,,,N,N,N,N,N,N
WKMY7D5V6DSTVNO5P6NBHNZ3,Barrel Weave Bracelet,,Custom,UCL-BRA-0002-CUST,"The Barrel Weave Bracelet features a handcrafted design using durable materials, ensuring both quality and longevity. Its versatile style makes it a timeless accessory suitable for any occasion.",Bracelets,Bracelets,,,,,visible,Physical good,,,,Y,N,Y,Y,30.00,,N,,N,,N,Y,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
YGM2A5DNQI5GG3WNGCQSHYT7,Barrel Weave Bracelet,,Turquoise/New Penny,UCL-BRA-0002-TUNE,,Bracelets,Bracelets,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
K5JKLLGB3UHEZKAJ7PFBGOMY,Barrel Weave Bracelet,,Raindow,UCL-BRA-0002-RAIN,,Bracelets,Bracelets,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
B6UPWY42GOV3MR6G2S5XZEUZ,Barrel Weave Bracelet,,Purple/Gold,UCL-BRA-0002-PUGO,,Bracelets,Bracelets,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
YIQECVTJV7F6O6M5WB2NPP3H,Barrel Weave Bracelet,,Green with Envy,UCL-BRA-0002-GRWI,,Bracelets,Bracelets,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
644VIWZ3IXABWEOXFUHPRA5L,Barrel Weave Bracelet,,Feeling Wicked,UCL-BRA-0002-FEWI,,Bracelets,Bracelets,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
RXSQTS7FHOPN7XSDM2IWOPEN,Barrel Weave Bracelet,,Red/Blue,UCL-BRA-0002-REBL,,Bracelets,Bracelets,,,,,visible,Physical good,,,,,,,,30.00,,N,,,,N,,,,N,,,,,,Y,,,,,,N,N,N,N,N,Y
