Token,Item Name,Customer-facing Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Preselect First Variation,Option Name 1,Option Value 1,Enabled CornerCAD,Current Quantity CornerCAD,New Quantity CornerCAD,Stock Alert Enabled CornerCAD,Stock Alert Count CornerCAD,Price CornerCAD,"Enabled Unique Creations by Lisa C, LLC","Current Quantity Unique Creations by Lisa C, LLC","New Quantity Unique Creations by Lisa C, LLC","Stock Alert Enabled Unique Creations by Lisa C, LLC","Stock Alert Count Unique Creations by Lisa C, LLC","Price Unique Creations by Lisa C, LLC",Modifier Set - Customize your fidget,Modifier Set - Flag Earrings,Modifier Set - Fruit Earrings,Modifier Set - Mobius Fidgets,Modifier Set - Scale Mail,Modifier Set - Select your custom colors
,Adrift Planter,,Regular,CAD-PLA-0005,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Alvao Orchid Planter,,Regular,CAD-PLA-0006,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Alvao Planter,,Regular,CAD-PLA-0007,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Apexis Vase,,Regular,CAD-VAS-0012,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Arcane Planter,,Regular,CAD-PLA-0008,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Aveiro Vase,,Regular,CAD-VAS-0013,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,45.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Axon Planter,,Regular,CAD-PLA-0009,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Axora Organiser,,Regular,CAD-ORG-0001,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Baleal Planter,,Regular,CAD-PLA-0010,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Bauho Organiser,,Regular,CAD-ORG-0002,,Office,Office,,,,,visible,Physical good,,,,Y,,Y,Y,30.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Beja Planters,,Regular,CAD-PLA-0011,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Blaze Planter,,Regular,CAD-PLA-0012,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
,Braga Planter,,Regular,CAD-PLA-0013,,Vases & Planters,Vases & Planters,,,,,visible,Physical good,,,,Y,,Y,Y,35.00,,N,Y,,,,,,,Y,,,,,,N,,,,,,,,,,,
